"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";"6,55163726806641";;"7,78386077880859";"7,51694869995117";"8,05077362060547";;"0";;"7,19956512451172";;;"3,98998374938965";"8,38955535888672"
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;"1,3572322845459";;;;;"3,38377494812012";
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";"7,20819931030273";"7,88514862060547";;"5,41130676269531";"7,64416198730469";"8,84234161376953";"4,40234336853027";"7,26703414916992";;;"7,22643814086914";"5,91172485351562";"2,7398588180542"
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"6,49924850463867";"7,76306533813477";;"3,85535507202148";"8,46563034057617";"7,11046752929687";"7,25798416137695";"5,33644790649414";"8,08258819580078";;"6,9642822265625";"4,65127716064453";"3,59367523193359"
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"8,42966079711914";"9,08289413452149";;"8,19818954467774";"9,28965759277344";"9,38207168579101";"8,84961242675781";"6,60993041992188";"8,93893814086914";;"6,78926773071289";"1,58049373626709";"7,91363830566406"
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";"7,95182952880859";;"9,92740783691406";"9,85481643676758";"10";;"0";;"8,86363372802734";;;"3,41851654052734";"8,32787780761719"
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";"7,76081390380859";;"9,60738983154297";"9,43112640380859";"9,7836540222168";;"0";;"8,34668350219727";;;"3,17530899047852";"8,00747528076172"
"13";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";"4,84462051391602";;"5,00797462463379";"4,53607063293457";"5,47390518188477";;"0";;;;;"6,62331924438477";"4,26638298034668"
"14";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"7,7963134765625";"8,53380355834961";;"6,10423812866211";"9,50365371704101";"8,50389404296875";"3,2347053527832";"8,76330108642578";"8,39936065673828";;"6,3776180267334";"2,61622905731201";"7,93025283813477"
"16";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;;;
"17";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";;;;;;;;;;;;;
"18";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mudroòova 83";"Bratislava - Staré Mesto";"81103";"7,69983367919922";;"9,51669311523438";"10";"9,0333869934082";;"0";;;;;"3,25495643615723";"8,09501190185547"
"19";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ sv. Uršule";"Nedbalova 4";"Bratislava - Staré Mesto";"81101";"6,65801162719727";;"7,77600708007813";"7,91606140136719";"7,63595352172852";;"0";;"8,72724380493164";;;"5,78135795593262";"8,23262557983398"
"20";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Sv. Uršule";"Nedbalova 6";"Bratislava - Staré Mesto";"81101";"5,32026481628418";"6,66531982421875";;"3,03418712615967";"6,48963394165039";"8,00858993530273";"2,19730186462402";"3,96591110229492";;;"4,0008716583252";"2,28608264923096";"7,44568557739258"
"21";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";"7,90242309570313";;"9,83737182617188";"9,6747428894043";"10";;"0";;"9,72346801757812";;;"4,06536712646484";"7,2704948425293"
"22";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";;;;;;;"8,91845474243164";;"8,48569717407227";;;"7,18379211425781";"7,11741714477539"
"23";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";"8,11999130249023";;"9,03645248413086";"8,93969573974609";"9,13320922851562";;"3,60069541931152";;"8,64694671630859";;;"3,40479736328125";"8,7000114440918"
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";;;;;;;;;;;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";"7,67434005737305";;"9,54790802001953";"9,2813346862793";"9,81448135375977";;"0";;;;;"4,93253021240234";
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"3,57823143005371";"3,83919830322266";;"2,76418190002441";"2,99842166900635";"4,88231658935547";"0";"4,08510398864746";;;"4,97158813476562";"3,18452205657959";"5,26754989624023"
"30";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";;;;;;;"0";;;;"7,27213897705078";;
"31";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";"7,22889251708984";;"8,76499176025391";"8,70032348632813";"8,82965927124024";;"0";;"7,23283462524414";;;"2,75217895507812";"8,46147918701172"
"32";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"6,78495025634766";"7,3442268371582";;"6,32158622741699";"6,54184951782227";"8,43645095825195";"2,1964693069458";"8,19577484130859";"8,86840591430664";;"7,78721542358398";"3,24846687316895";"7,78333129882813"
"33";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Zochova 9";"Bratislava - Staré Mesto";"81103";"7,37147369384766";"7,72034301757813";;"6,23001441955566";"8,13814086914062";"7,77870941162109";"1,6894079208374";"8,22879180908203";;;"6,00005722045898";"3,72048072814941";"5,69255828857422"
"34";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"7,1254997253418";;"8,44294509887695";"8,57882385253906";"8,30906524658203";;"0,298661637306213";;"9,3460334777832";;;"2,90822200775146";
"35";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola - Gymnázium sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"6,67722396850586";"8,00358657836914";;"4,26406898498535";"8,55896301269531";"8,27364883422852";"0,0819870412349701";"7,45109634399414";"9,24007263183594";;"6,68718109130859";"3,22510528564453";"0,00469548813998699"
"36";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Gymnázium";"Slovenskı";"Gymnázium";"1. súkromné gymnázium";"Bajkalská 20";"Bratislava - Ruinov";"82108";"8,6691047668457";"9,69142990112305";;"9,0388671875";"9,71167526245117";"9,96066665649414";"3,12978134155273";"9,53911972045898";;;"5,62334976196289";"5,01922149658203";"3,05297412872314"
"37";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ pre intelektovo nadané deti";"Slovenskı";"Základná škola";"Súkr.ZŠ - nadané deti";"Bajkalská 20";"Bratislava - Ruinov";"82108";"8,76250686645508";;"10";"10";"10";;"3,81253547668457";;;;;"4,77055320739746";"6,33035926818848"
"39";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";"5,02067108154297";;"5,78064498901367";"6,47561569213867";"5,08567390441894";;"0";;;;;"3,77337799072266";"8,26987380981445"
"40";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";"7,31763000488281";"5,57602996826172";;"0";"5,13487281799316";"6,13482933044434";"0,87218017578125";"10";"6,91116180419922";;"1,76196537017822";"4,28354530334473";"7,01155242919922"
"41";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"2,82871685028076";;"3,39140472412109";"3,19471206665039";"3,58416328430176";;"0";;"6,08628616333008";;;"3,42583389282227";"7,44288558959961"
"42";"Bratislavskı";"Bratislava II";"Súkromník";"Hotelová akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. hotelová akadémia";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"4,92294425964355";"5,39356155395508";;"0";"5,95646591186523";"4,76908950805664";"0";"5,53103942871094";"7,68511352539062";;"4,93457908630371";"4,69684715270996";"5,94289245605469"
"43";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Borodáèova 2";"Bratislava - Ruinov";"82103";"5,72840538024902";;"6,87826232910156";"7,35840759277344";"6,39811706542969";;"0";;;;;"6,12034492492676";"6,32383193969727"
"44";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Drieòová 16";"Bratislava - Ruinov";"82103";"7,21973571777344";;"8,37298889160156";"8,19034423828125";"8,55563430786133";;"1,24650211334229";;"8,36339416503906";;;"2,65032558441162";"8,72637252807617"
"45";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná";"Drieòová 35";"Bratislava - Ruinov";"82664";;;;;;;"0";;;;"8,21802139282227";;
"46";"Bratislavskı";"Bratislava II";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"4,84941825866699";"4,57576293945313";;"2,92373275756836";"0,523008871078491";"9,41530609130859";"0";"8,41584167480469";;;"0,750350141525269";"3,49898414611816";
"47";"Bratislavskı";"Bratislava II";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"Súkromná ZŠ Galileo";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";;;;;;;"0";;;;;"5,54515953063965";
"48";"Bratislavskı";"Bratislava II";"Súkromník";"Športové gymnázium";"Slovenskı";"Gymnázium";"Súkr. šport. gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";;;;;"0,46150074005127";"6,24061431884766";"0";"6,17391319274902";"3,08134174346924";;"5,39204063415527";"6,13907661437988";
