"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"1";"Bratislavskı";"Bratislava I";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"51,9";"45,6";;;;;;;;;;;;;;;;;;;;;;
"2";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"62,5";"66,3";;;"64,77";"91,84";"79,49";;;;;;;;;;;;;"7,04607";;;;
"3";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;;;;;;;;;;;"74,4";"73";"94,1";;;;;;;;;;;;;;;;"7,17489";;;;
"4";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";;"62,2";"76,1";"75,4";;"70,9";;;;;;;;;;;;;;;;;;;;;;;;"9,375";;;;
"5";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"51,1";"30";;;"60,4";"68,5";;"40,2";;;;;;;;;;;;;;;;;;;;;;"12,3853";;;;
"6";"Bratislavskı";"Bratislava I";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"7";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";"51,7";;;;"66";;;;;;;;;;;;;;;;;;;;;;;;;"27,1523";;;;
"8";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"71,6";"67,7";;;;"73,5";;;"57,9";;"85,6";"96,6";;;;;;;;;;;;;;;;;;"8,66873";;;;
"9";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";;;;;;;;;;;"76,6";"79,3";;;"95,1807";"94,1176";"80,4464";;;;;;;;;;;;;"6,63616";;;;
"10";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"76,2";"85,3";;;;;;;;;;;;;;;;;;"6,77507";;;;
