"ID";"okres";"kraj";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"sur_x";"sur_y";"tel_predvobla";"tel_cislo";"tel_cislo2";"tel_cislo3";"fax_cislo";"email";"email2";"email3";"adresa_www";"kod_kodsko";"postih";"postih1_nazov";"postih2_nazov";"postih3_nazov";"postih4_nazov"
"1";"Bratislava I";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"ZŠ pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna základná škola";"ZŠ s MŠi so SP";"Drotárska cesta 48";"Bratislava - Staré Mesto";"81104";"17,0825";"48,1575";"02";"62801196";"62801207";"62801205";"62801209";"zsi@nextra.sk";;;;"031746616";"sluchovı";;;;
"2";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Dubová 1";"Bratislava - Staré Mesto";"81104";"17,082";"48,1648";"02";"54773403";"54771703";"54771703";"54771703";"zsdubova@stonline.sk";"zsdubova@stonline.sk";;"www.zsdubovaba.edu.sk";"031810926";;;;;
"3";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";"17,117";"48,1452";"02";"52964315";;"52927768";"52968038";"kis@gdunaba.sk";"morvayk@gdunaba.sk";;"www.gdunaba.sk";"710041110";;;;;
"4";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Gymnázium";"Maïarskı";"Gymnázium";"Gymnázium s VJM";"Dunajská 13";"Bratislava - Staré Mesto";"81484";"17,1171";"48,1452";"02";"52927768";"52964315";;"52927769";"kis@gdunaba.sk";"morvayk@gdunaba.sk";;"www.gdunaba.sk";"017337089";;;;;
"5";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ strojnícka";"Fajnorovo nábreie 5";"Bratislava - Staré Mesto";"81475";"17,1146";"48,1401";"02";"52968033";"52968442";;"52968442";"fajnorka@fajnorka.sk";"fajnorka@fajnorka.sk";;"www.fajnorka.sk";"030775396";;;;;
"6";"Bratislava I";"Bratislavskı";"Súkromník";"ŠZŠ pre iakov s autizmom";"Slovenskı";"Špeciálna základná škola";"Súkr. ŠZŠ so ŠMŠ";"Galandova 7";"Bratislava - Staré Mesto";"81103";"17,099";"48,1493";"02";"54410907";"0907627130";"54640211";"54410907";"andreas@andreas.sk";"nakladalova@andreas.sk";"sedibova@andreas.sk";"www.andreas.sk";"037925539";"syndróm autizmu";;;;
"7";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Taneèné konzervatórium";"Slovenskı";"Konzervatórium";"Taneèné  konzervatórium";"Gorazdova 20";"Bratislava - Staré Mesto";"81104";"17,0965";"48,1596";"02";"59203911";"59203927";;"54788339";"tankonba@tankonba.sk";"katarina.zacharova@tankonba.sk";;"www.tankonba.sk";"030775302";;;;;
"8";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Grösslingová 18";"Bratislava - Staré Mesto";"81109";"17,1162";"48,1441";"02";"52963624";"52963097";;"52923693";"tajomnicka@gamca.sk";"riaditelstvo@gamca.sk";;"www.gamca.sk";"017337101";;;;;
"9";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Grösslingová 48";"Bratislava - Staré Mesto";"81109";"17,1213";"48,1453";"02";"52923482";;"0905454250";"52923482";"zsgrosba@zsgrosba.edu.sk";;;"www.zsgrosba.edu.sk";"031810993";;;;;
"10";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Hlboká cesta 4";"Bratislava - Staré Mesto";"81104";"17,103";"48,1558";"02";"52498776";;;"52498776";"info@zshlboka.sk";"riaditel@zshlboka.sk";;"zshlboka.edupage.org";"031810934";;;;;
"13";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Jelenia 16";"Bratislava - Staré Mesto";"81105";"17,1117";"48,1577";"02";"52494093";"52498598";;"52498598";"magda@freemail.sk";"magda@freemail.sk";;"www.zsjeleniaba.edu.sk";"030791847";"3";"vıvinové poruchy uèenia";"syndróm autizmu";"narušená komunikácia (reèovı)";
"14";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Matky Alexie";"Jesenského 4/A";"Bratislava - Staré Mesto";"81102";"17,1106";"48,1423";"02";"54433694";"54430785";;"54433694";"info@gma.sk";;;"gma.edupage.org. www.gma.sk";"017318840";;;;;
"16";"Bratislava I";"Bratislavskı";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Jesenského 6";"Bratislava - Staré Mesto";"81101";"17,1118";"48,1427";"02";"54630152";;;"54630151";"moyzesskola@stonline.sk";;;;"031816088";;;;;
"17";"Bratislava I";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Špeciálna základná škola";"Slovenskı";"Špeciálna základná škola";"Špeciálna ZŠ s MŠ";"Karpatská 1";"Bratislava - Staré Mesto";"81105";"17,1134";"48,1576";"02";"52493454";;;"52923048";"szskarpatska@zoznam.sk";;;"www.szskarpatska.sk";"031780890";"mentálny";;;;
"18";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mudroòova 83";"Bratislava - Staré Mesto";"81103";"17,0905";"48,1505";"02";"62802050";;;;"riaditel@zsmudronovaba.edu.sk";;;"www.zsmudronovaba.edu.sk";"036064092";;;;;
"19";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ s MŠ sv. Uršule";"Nedbalova 4";"Bratislava - Staré Mesto";"81101";"17,11";"48,145";"02";"54432778";"54435965";;"54435965";"riaditelka@zsmsursule.sk";;;"zsmsursule.edupage.org";"050429256";;;;;
"20";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium Sv. Uršule";"Nedbalova 6";"Bratislava - Staré Mesto";"81101";"17,1105";"48,1448";"02";"54430250";"54410749";;"54410749";"gymsurba@svsba.sk";;;"www.gsurba.edu.sk";"030807930";;;;;
"21";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"ZŠ Matky Alexie";"Palackého 1";"Bratislava - Staré Mesto";"81102";"17,111";"48,1419";"02";"54435716";;;"54647107";"zsmatkyalexie@gmail.com";"zsmatkyalexie@gmail.com";;"www.zsmatkyalexie.eu";"017318858";;;;;
"22";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Evanjelická ZŠ";"Palisády 57";"Bratislava - Staré Mesto";"81106";"17,1061";"48,1489";"02";"52967389";"63823188";;"52967389";"lyceum@centrum.sk";"lyceum@centrum.sk";;"www.zsevba.edu.sk";"017327172";;;;;
"23";"Bratislava I";"Bratislavskı";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Panenská 11";"Bratislava - Staré Mesto";"81103";"17,1029";"48,1479";"02";"54415552";"54414661";;;"zus.ruppeldta@gmail.com";;;;"030791898";;;;;
"24";"Bratislava I";"Bratislavskı";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";"17,1016";"48,147";"02";"544412022";"55564405";;;"zusvytvarka@stonline.sk";;;;"031816118";;;;;
"25";"Bratislava I";"Bratislavskı";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";"17,1025";"48,1453";;"0905543282";;;;"skolahra@nextra.sk";;;;"030849331";;;;;
"26";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";"17,0992";"48,1451";"02";"54411323";;;"54411323";"kontakt@zsmh.sk";"riaditelka@zsmh.sk";;"www.zsmh.sk";"031810969";;;;;
"27";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"17,1047";"48,1497";;"54435341-3";"54434505";;"54430304";"consbrat@netax.sk";;;"www.konzervatorium.sk";"000605808";;;;;
"28";"Bratislava I";"Bratislavskı";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";"17,087";"48,1619";"02";"20720679";;;;"school@cambridgeschool.eu";"admissions@cambridgeschool.eu";"exams@cambridgeschool.eu";"http://www.cambridgeschool.eu/en";"710178360";;;;;
"29";"Bratislava I";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"17,1203";"48,1542";"02";"55573141";"55575979";;"55575979";"csose@csose.sk";;;"www.csose.sk";"030815339";;;;;
"30";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";"17,1208";"48,154";"02";"55423366";"55424640";;"55424640";"sgs@post.sk";;;"www.sgs.edu.sk";"030775370";;;;;
"31";"Bratislava I";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";"17,1169";"48,1543";"02";"52496964";;;"52495724";"vedenie@zsvazovova.sk";"kmuller@zsvazovova.edu.sk";;"www.zsvazovova.sk";"036071277";;;;;
"32";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"17,1178";"48,1542";"02";"52496800";"52497296";;"52497296";"vedenie@vazka.sk";"dornak@vazka.sk";;"www.vazka.sk";"017337046";;;;;
"33";"Bratislava I";"Bratislavskı";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Zochova 9";"Bratislava - Staré Mesto";"81103";"17,1";"48,1464";"02";"54416186";"54414229";;"54411625";"office@zochova.sk";;;"www.zochova.sk";"030775353";;;;;
"34";"Bratislava II";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"17,1695";"48,1547";"02";"43427453";"43425376";;"43427453";"zs@vincentdepaul.sk";"svantnerova@vincentdepaul.sk";;"www.vincentdepaul.sk";"710213662";;;;;
"35";"Bratislava II";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola - Gymnázium sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"17,1696";"48,1547";"02";"43427453";"43425376";;"43427453";"gymnazium@vincentdepaul.sk";"svantnerova@vincentdepaul.sk";;"www.vincentdepaul.sk";"710262507";;;;;
"36";"Bratislava II";"Bratislavskı";"Obèianske zdruenia";"Gymnázium";"Slovenskı";"Gymnázium";"1. súkromné gymnázium";"Bajkalská 20";"Bratislava - Ruinov";"82108";"17,1436";"48,1576";"02";"50204619";"50204613";;"50204611";"info@1sg.sk";;;"www.1sg.sk";"050343971";;;;;
"37";"Bratislava II";"Bratislavskı";"Obèianske zdruenia";"ZŠ pre intelektovo nadané deti";"Slovenskı";"Základná škola";"Súkr.ZŠ - nadané deti";"Bajkalská 20";"Bratislava - Ruinov";"82108";"17,1437";"48,1576";"02";"50204619";"50204613";"50204629";"50204611";"ingo@1sg.sk";;;"www.1sg.sk";"042138027";"intelektové nadanie";;;;
"39";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";"17,2012";"48,14";"02";"45246143";"45246141";;"45246141";"zsbieloruska@zsbieloruskaba.edu.sk";;"belohlavkova@atlas.sk-P1";"www.zsbieloruskaba.edu.sk";"031780741";;;;;
"40";"Bratislava II";"Bratislavskı";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";"17,2013";"48,14";"02";"45248799";"0917638732";;;;"kholova@ssougas.sk";;"www.ssougas.sk";"030795290";;;;;
"41";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"17,2079";"48,1271";"02";"45644714";"45644713";"45644715";"45644713";"zsbiskupicka@post.sk";"zsbiskupicka@post.sk";;;"031748201";;;;;
"42";"Bratislava II";"Bratislavskı";"Súkromník";"Hotelová akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. hotelová akadémia";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"17,208";"48,1271";;"45259929/1";"45259929/2";;"45259929";"skola1@shahagma.sk";;;"www.SHAHAGMA.sk";"031787517";;;;;
"43";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Borodáèova 2";"Bratislava - Ruinov";"82103";"17,1735";"48,1536";"02";"43630904";"43630896";;"43630906";"skola@borodacova.sk";"milova@borodacova.sk";;"www.borodacova.sk";"031780784";;;;;
"44";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Drieòová 16";"Bratislava - Ruinov";"82103";"17,1518";"48,1604";"02";"43631774";"43335222";"43521774";"43335222";"zsdrienovaba@zsdrienovaba.edu.sk";"riaditel@zsdrienovaba.edu.sk";;"www.zsdrienovaba.edu.sk";"017337631";;;;;
"45";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná";"Drieòová 35";"Bratislava - Ruinov";"82664";"17,1685";"48,1623";"02";"43336407";"43339783";;"43338923";"riaditelstvo@spssdrba.sk";;;"www.spssdrba.edu.sk";"030775337";;;;;
"46";"Bratislava II";"Bratislavskı";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"17,2146";"48,1373";"02";"45641077";"0905448072";;"45523734";"info@galileoschool.sk";"butler@galileoschool.sk";;"www.galileoschool.sk";"710212674";;;;;
"47";"Bratislava II";"Bratislavskı";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"Súkromná ZŠ Galileo";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"17,2147";"48,1373";"02";"45981928";"0915793032";"0918694635";"45981929";"info@galileoschool.sk";"butler@galileoschool.sk";;"www.galileoschool.sk";"710213603";;;;;
"48";"Bratislava II";"Bratislavskı";"Súkromník";"Športové gymnázium";"Slovenskı";"Gymnázium";"Súkr. šport. gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"17,2148";"48,1373";"02";"45520983";"45525772";;"45525772";"gaudeamus@dudva.sk";"riaditel@dudva.sk";;"www.dudva.sk";"710213522";;;;;
"49";"Bratislava II";"Bratislavskı";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. obchodná akadémia";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"17,2149";"48,1373";"02";"45525772";"45525722";;"45520983";"profikamo@dudva.sk";;;"www.dudva.sk";"710213530";;;;;
"50";"Bratislava II";"Bratislavskı";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Exnárova 6";"Bratislava - Ruinov";"82103";"17,168";"48,1565";"02";"43335441";"43421358";"43421235";"43421358";"zus01@stonline.sk";;;;"031769403";;;;;
"51";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium F. G. Lorcu";"Hronská 3";"Bratislava - Podunajské Biskupice";"82107";"17,2119";"48,1334";"02";"45242585";"45520572";;"45257931";"gymhron@gymhron.edu.sk";"dlugosova.m@gmail.com";;"www.gymhron.edu.sk";"017337097";;;;;
"52";"Bratislava II";"Bratislavskı";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Chlumeckého 10";"Bratislava - Ruinov";"82103";"17,1722";"48,1554";"02";"43410702";;;"43410702";;"riaditel@zusc.sk";;;"031787321";;;;;
"53";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Ivana Horvátha 14";"Bratislava - Ruinov";"82103";"17,1751";"48,1552";"02";"43425140";"43423677";;"43423677";"skola@horvatha.sk";;;"www.horvatha.sk";"017337062";;;;;
"54";"Bratislava II";"Bratislavskı";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82375";"17,176";"48,1678";"02";"43421517";"43425086";;"43423613";"sou@sou.sk";;;"www.sou.sk";"042128790";;;;;
"55";"Bratislava II";"Bratislavskı";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.str.umelecká škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82104";"17,1761";"48,1678";"02";"43410802";;;"43410802";"ssus@ssus.sk";;;"www.ssus.sk";"031792952";;;;;
"57";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"OU pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna stredná škola";"OU pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"17,1316";"48,1536";"02";"55564575";"55564582";;"55564528";"sekretariat@souspmba.edu.sk";"eva@krsko.sk";;"www.souspmba.edu.sk";"710157029";;;;;
"58";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"SOŠ pre sluchovo postihn.int.";"Slovenskı";"Špeciálna stredná škola";"SOŠ pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"17,1317";"48,1536";"02";"55564582";;;;"sekretariat@soskocelovaba.edu.sk";;;"www.soskocelovaba.edupage.org";"000605794";;;;;
"59";"Bratislava II";"Bratislavskı";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická";"Košická";"Bratislava - Ruinov";"82109";"17,132";"48,1453";"02";"55571122";"55569725";;"55574550";"munkova@gjh.sk";"munkova@gjh.sk";"oravcova@gymko.sk";"www.gymko.sk";"710171374";;;;;
"62";"Bratislava II";"Bratislavskı";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kulíškova 8";"Bratislava - Ruinov";"82108";"17,1309";"48,1515";"02";"55969950";"55567868";;"55969950";"admin@zskuliskovaba.edu.sk";;;"www.zskuliskovaba.edu.sk";"031780792";"1";"narušená komunikácia (reèovı)";;;
