Ukazovate¾;;2019
Okres Bratislava I;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);4326,74
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);41494
Okres Bratislava II;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);1253,52
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);115938
Okres Bratislava III;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);919,93
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);68696
Okres Bratislava IV;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);1008,91
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);97526,5
Okres Bratislava V;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);1185,05
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);111640,5
Okres Malacky;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);78,27
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);74323
Okres Pezinok;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);173,47
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);65145
Okres Senec;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);249,61
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);89832
Okres Dunajská Streda;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);113,86
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);122358
Okres Galanta;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);146,6
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);94076
Okres Hlohovec;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);168,44
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);45012,5
Okres Piešany;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);164,79
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);62802,5
Okres Senica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);88,47
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);60446
Okres Skalica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);131,92
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);47104,5
Okres Trnava;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);178,67
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);132454,5
Okres Bánovce nad Bebravou;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);78,54
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);36281,5
Okres Ilava;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);165,1
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);59187,5
Okres Myjava;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);80,5
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);26356
Okres Nové Mesto nad Váhom;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);107,85
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);62553,5
Okres Partizánske;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);151,48
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);45596,5
Okres Povaská Bystrica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);134,81
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);62438,5
Okres Prievidza;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);139,58
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);133979,5
Okres Púchov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);118,12
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);44309,5
Okres Trenèín;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);169,71
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);114523
Okres Komárno;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);92,45
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);101711,5
Okres Levice;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);71,45
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);110824
Okres Nitra;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);185,55
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);161560
Okres Nové Zámky;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);103,19
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);139004,5
Okres Ša¾a;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);145,22
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);51685
Okres Topo¾èany;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);117,35
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);70131,5
Okres Zlaté Moravce;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);77,85
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);40572,5
Okres Tvrdošín;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);75,54
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);36180
Okres ilina;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);193,9
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);158043
Okres Bytèa;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);109,82
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);30917
Okres Èadca;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);118,43
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);90080
Okres Dolnı Kubín;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);80,22
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);39456,5
Okres Kysucké Nové Mesto;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);189,51
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);32914
Okres Liptovskı Mikuláš;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);53,88
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);72260,5
